,Name,Due,Late,Cost,Time,Done,Status,Order
0,§1 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,0
1,§1 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,1
2,§1 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,2
3,§1 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,3
4,§1 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,4
5,§1 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,5
6,§1 Упражнение 1.1,"October 31, 2021",0,274.73,,No,Not started,6
7,§1 Упражнение 1.2,"October 31, 2021",0,274.73,,No,Not started,7
8,§1 Упражнение 1.3,"October 31, 2021",0,274.73,,No,Not started,8
9,§1 Упражнение 1.4,"October 31, 2021",0,274.73,,No,Not started,9
10,§1 Упражнение 1.5,"October 31, 2021",0,274.73,,No,Not started,10
11,§2 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,11
12,§2 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,12
13,§2 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,13
14,§2 Упражнение 2.1,"October 31, 2021",0,274.73,,No,Not started,14
15,§2 Упражнение 2.2,"October 31, 2021",0,274.73,,No,Not started,15
16,§3 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,16
17,§3 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,17
18,§3 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,18
19,§3 Упражнение 3.1,"October 31, 2021",0,274.73,,No,Not started,19
20,§3 Упражнение 3.2,"October 31, 2021",0,274.73,,No,Not started,20
21,§4 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,21
22,§4 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,22
23,§4 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,23
24,§4 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,24
25,§4 Упражнение 4.1,"October 31, 2021",0,274.73,,No,Not started,25
26,§4 Упражнение 4.2,"October 31, 2021",0,274.73,,No,Not started,26
27,§5 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,27
28,§5 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,28
29,§5 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,29
30,§5 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,30
31,§5 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,31
32,§5 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,32
33,§5 Упражнение 5.1,"October 31, 2021",0,274.73,,No,Not started,33
34,§5 Упражнение 5.2,"October 31, 2021",0,274.73,,No,Not started,34
35,§5 Упражнение 5.3,"October 31, 2021",0,274.73,,No,Not started,35
36,§6 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,36
37,§6 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,37
38,§6 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,38
39,§6 Упражнение 6.1,"October 31, 2021",0,274.73,,No,Not started,39
40,§6 Упражнение 6.2,"October 31, 2021",0,274.73,,No,Not started,40
41,§6 Упражнение 6.3,"October 31, 2021",0,274.73,,No,Not started,41
42,§6 Упражнение 6.4,"October 31, 2021",0,274.73,,No,Not started,42
43,§6 Упражнение 6.5,"October 31, 2021",0,274.73,,No,Not started,43
44,§7 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,44
45,§7 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,45
46,§7 Упражнение 7.1,"October 31, 2021",0,274.73,,No,Not started,46
47,§7 Упражнение 7.2,"October 31, 2021",0,274.73,,No,Not started,47
48,§7 Упражнение 7.3,"October 31, 2021",0,274.73,,No,Not started,48
49,§8 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,49
50,§8 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,50
51,§8 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,51
52,§8 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,52
53,§8 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,53
54,§8 Упражнение 8.1,"October 31, 2021",0,274.73,,No,Not started,54
55,§8 Упражнение 8.2,"October 31, 2021",0,274.73,,No,Not started,55
56,§8 Упражнение 8.3,"October 31, 2021",0,274.73,,No,Not started,56
57,§9 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,57
58,§9 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,58
59,§9 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,59
60,§9 Упражнение 9.1,"October 31, 2021",0,274.73,,No,Not started,60
61,§9 Упражнение 9.2,"October 31, 2021",0,274.73,,No,Not started,61
62,§9 Упражнение 9.3,"October 31, 2021",0,274.73,,No,Not started,62
63,§9 Упражнение 9.4,"October 31, 2021",0,274.73,,No,Not started,63
64,§9 Упражнение 9.5,"October 31, 2021",0,274.73,,No,Not started,64
65,§10 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,65
66,§10 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,66
67,§10 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,67
68,§10 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,68
69,§10 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,69
70,§10 Упражнение 10.1,"October 31, 2021",0,274.73,,No,Not started,70
71,§11 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,71
72,§11 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,72
73,§11 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,73
74,§11 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,74
75,§11 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,75
76,§11 Упражнение 11.1,"October 31, 2021",0,274.73,,No,Not started,76
77,§11 Упражнение 11.2,"October 31, 2021",0,274.73,,No,Not started,77
78,§11 Упражнение 11.3,"October 31, 2021",0,274.73,,No,Not started,78
79,§11 Упражнение 11.4,"October 31, 2021",0,274.73,,No,Not started,79
80,§11 Упражнение 11.5,"October 31, 2021",0,274.73,,No,Not started,80
81,§11 Упражнение 11.6,"October 31, 2021",0,274.73,,No,Not started,81
82,§12 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,82
83,§12 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,83
84,§12 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,84
85,§12 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,85
86,§12 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,86
87,§12 Упражнение 12.1,"October 31, 2021",0,274.73,,No,Not started,87
88,§12 Упражнение 12.2,"October 31, 2021",0,274.73,,No,Not started,88
89,§12 Упражнение 12.3,"October 31, 2021",0,274.73,,No,Not started,89
90,§13 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,90
91,§13 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,91
92,§13 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,92
93,§13 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,93
94,§13 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,94
95,§13 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,95
96,§13 Упражнение 13.1,"October 31, 2021",0,274.73,,No,Not started,96
97,§13 Упражнение 13.2,"October 31, 2021",0,274.73,,No,Not started,97
98,§13 Упражнение 13.3,"October 31, 2021",0,274.73,,No,Not started,98
99,§14 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,99
100,§14 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,100
101,§14 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,101
102,§14 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,102
103,§14 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,103
104,§14 Упражнение 14.1,"October 31, 2021",0,274.73,,No,Not started,104
105,§15 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,105
106,§15 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,106
107,§15 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,107
108,§15 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,108
109,§15 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,109
110,§15 Вопрос 6,"October 31, 2021",0,274.73,,No,Not started,110
111,§15 Упражнение 15.1,"October 31, 2021",0,274.73,,No,Not started,111
112,§15 Упражнение 15.2,"October 31, 2021",0,274.73,,No,Not started,112
113,§15 Упражнение 15.3,"October 31, 2021",0,274.73,,No,Not started,113
114,§15 Упражнение 15.4,"October 31, 2021",0,274.73,,No,Not started,114
115,§15 Упражнение 15.5,"October 31, 2021",0,274.73,,No,Not started,115
116,§16 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,116
117,§16 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,117
118,§16 Вопрос 3,"October 31, 2021",0,274.73,,No,Not started,118
119,§16 Вопрос 4,"October 31, 2021",0,274.73,,No,Not started,119
120,§16 Вопрос 5,"October 31, 2021",0,274.73,,No,Not started,120
121,§16 Упражнение 16.1,"October 31, 2021",0,274.73,,No,Not started,121
122,§16 Упражнение 16.2,"October 31, 2021",0,274.73,,No,Not started,122
123,§16 Упражнение 16.3,"October 31, 2021",0,274.73,,No,Not started,123
124,§16 Упражнение 16.4,"October 31, 2021",0,274.73,,No,Not started,124
125,§16 Упражнение 16.5,"October 31, 2021",0,274.73,,No,Not started,125
126,§16 Упражнение 16.6,"October 31, 2021",0,274.73,,No,Not started,126
127,§17 Вопрос 1,"October 31, 2021",0,274.73,,No,Not started,127
128,§17 Вопрос 2,"October 31, 2021",0,274.73,,No,Not started,128
